,Courses,Classes
166," ANTH 9010 Directed Readings
","11278 013IND (1 - 12)Open0 / 20Daniel LefkowitzTBATBA
"
167," ANTH 9010 Directed Readings
","13773 032IND (1 - 12)Open0 / 20Kath WestonTBATBA
"
168," ANTH 9020 Directed Readings
","20594 001IND (1 - 12)Open2 / 20China ScherzTBATBA
"
169," ANTH 9020 Directed Readings
","20742 002IND (1 - 12)Open1 / 20Eve DanzigerTBATBA
"
170," ANTH 9020 Directed Readings
","20281 022IND (1 - 12)Open 1 / 20Adria LaVioletteTBATBA
"
171," ANTH 9020 Directed Readings
","11279 023IND (1 - 12)Open0 / 20Patricia WattenmakerTBATBA
"
172," ANTH 9020 Directed Readings
","11966 026IND (1 - 12)Open0 / 20Jim IgoeTBATBA
"
173," ANTH 9020 Directed Readings
","13778 032IND (1 - 12)Open0 / 20John ShepherdTBATBA
"
174," ANTH 9020 Directed Readings
","13822 033IND (1 - 12)Open0 / 20Aidan Seale-FeldmanTBATBA
"
175," ANTH 9050 Research Practicum
","12332 001IND (1)Open12 / 15China ScherzTBATBA
"
176," ANTH 9998 Non-Topical Research, Preparation for Doctoral Research
","20740 001IND (1 - 12)Open0 / 20Jarrett ZigonTBATBA
"
177," ANTH 9998 Non-Topical Research, Preparation for Doctoral Research
","11280 002IND (1 - 12)Open0 / 20Ira BashkowTBATBA
"
178," ANTH 9998 Non-Topical Research, Preparation for Doctoral Research
","11282 004IND (1 - 12)Open0 / 20Frederick DamonTBATBA
"
179," ANTH 9998 Non-Topical Research, Preparation for Doctoral Research
","11283 005IND (1 - 12)Open 0 / 20Eve DanzigerTBATBA
"
180," ANTH 9998 Non-Topical Research, Preparation for Doctoral Research
","11284 006IND (1 - 12)Open0 / 20Lise DobrinTBATBA
"
181," ANTH 9998 Non-Topical Research, Preparation for Doctoral Research
","11286 008IND (1 - 12)Open0 / 20Gertrude FraserTBATBA
"
182," ANTH 9998 Non-Topical Research, Preparation for Doctoral Research
","11287 009IND (1 - 12)Open 0 / 20Richard HandlerTBATBA
"
