,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Lecture_Num
171,CHEM,1421,Introductory College Chemistry II Laboratory,10821,27,Laboratory,1,24,Chemistry Blds Room 346,Lisa Morkowchuk,1400,1700,3,614
172,CHEM,1421,Introductory College Chemistry II Laboratory,11631,28,Laboratory,1,24,Chemistry Bldg Room 354,Lisa Morkowchuk,1400,1700,3,614
173,CHEM,1421,Introductory College Chemistry II Laboratory,12493,29,Laboratory,1,24,Chemistry Building Room 358,Lisa Morkowchuk,1400,1700,3,614
174,CHEM,1421,Introductory College Chemistry II Laboratory,12650,30,Laboratory,1,22,Chemistry Bldg Room 338,Lisa Morkowchuk,900,1200,4,614
175,CHEM,1421,Introductory College Chemistry II Laboratory,12651,31,Laboratory,1,22,Chemistry Bldg 344,Lisa Morkowchuk,900,1200,4,614
176,CHEM,1421,Introductory College Chemistry II Laboratory,12652,32,Laboratory,1,22,Chemistry Blds Room 346,Lisa Morkowchuk,900,1200,4,614
177,CHEM,1421,Introductory College Chemistry II Laboratory,12653,33,Laboratory,1,24,Chemistry Bldg Room 338,Lisa Morkowchuk,1400,1700,4,614
178,CHEM,1421,Introductory College Chemistry II Laboratory,12654,34,Laboratory,1,24,Chemistry Bldg Room 354,Lisa Morkowchuk,900,1200,4,614
179,CHEM,1421,Introductory College Chemistry II Laboratory,12655,35,Laboratory,1,24,Chemistry Bldg Room 338,Lisa Morkowchuk,1400,1700,5,614
180,CHEM,1421,Introductory College Chemistry II Laboratory,12656,36,Laboratory,1,24,Chemistry Blds Room 346,Lisa Morkowchuk,1400,1700,5,614
181,CHEM,1421,Introductory College Chemistry II Laboratory,12657,37,Laboratory,1,24,Chemistry Bldg Room 354,Lisa Morkowchuk,1400,1700,5,614
182,CHEM,1421,Introductory College Chemistry II Laboratory,12658,38,Laboratory,1,24,Chemistry Building Room 358,Lisa Morkowchuk,1400,1700,5,614
183,CHEM,1421,Introductory College Chemistry II Laboratory,20260,39,Laboratory,1,0,Chemistry Building Room 358,Lisa Morkowchuk,1400,1700,4,614
