,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Discussion_Lab_Nums
1216,EVSC,1020,Practical Concepts in Environmental Sciences,10167,2,Lecture,1,14,Clark Hall 201,Linda Blum,1300,1350,2,None
1217,EVSC,1020,Practical Concepts in Environmental Sciences,10168,3,Lecture,1,14,Clark Hall 201,Linda Blum,1300,1350,3,None
1218,EVSC,1020,Practical Concepts in Environmental Sciences,10169,4,Lecture,1,14,Clark Hall 201,Linda Blum,1300,1350,4,None
1219,EVSC,1020,Practical Concepts in Environmental Sciences,11395,5,Lecture,1,14,Clark Hall 201,Linda Blum,1400,1450,2,None
1220,EVSC,1020,Practical Concepts in Environmental Sciences,18367,6,Lecture,1,14,Clark Hall 201,Linda Blum,1300,1350,5,None
1221,EVSC,1300,Earth's Weather and Climate,12019,1,Lecture,3,160,Clark Hall 108,Robert Davis,1300,1350,"1, 3, 5",None
1222,EVSC,1559,New Course in Environmental Science,18373,100,SEM,2,8,New Cabell Hall 038,Deborah Lawrence,900,950,"1, 3",None
1223,EVSC,1559,New Course in Environmental Science,18413,101,PRA,0,8,Clark Hall 186,Deborah Lawrence,1500,1800,3,None
1224,EVSC,2010,Materials That Shape Our Civilizations,12082,1,Lecture,3,245,Nau Hall 101,Robert Kelly,1230,1345,"2, 4",None
1225,EVSC,2010,Materials That Shape Our Civilizations,12083,2,Lecture,3,245,Nau Hall 101,Robert Kelly,1400,1515,"2, 4",None
1226,EVSC,2050,Introduction to Oceanography,10170,1,Lecture,3,163,Maury Hall 209,Stephen Macko,1230,1345,"2, 4",None
1227,EVSC,2559,New Course in Environmental Science,18374,1,Lecture,3,30,Clark Hall 101,Lauren Simkins+1,1000,1050,"1, 3, 5",None
1228,EVSC,2800,Fundamentals of Geology,10171,1,Lecture,3,163,Clark Hall 108,Janet Herman,1100,1150,"1, 3, 5","465, 466, 467, 468, 469"
1229,EVSC,3020,GIS Methods,11457,100,Lecture,4,40,Clark Hall G004,John Porter,1230,1345,"2, 4","470, 471"
1230,EVSC,3060,Biomechanics of Organisms,18375,1,Lecture,3,40,Clark Hall 101,Matthew Reidenbach,1400,1515,"2, 4",None
1231,EVSC,3200,Fundamentals of Ecology,10177,1,Lecture,3,160,Clark Hall 108,Thomas Smith,1100,1215,"2, 4","472, 473, 474, 475, 476, 477"
1232,EVSC,3300,Atmosphere and Weather,10186,1,Lecture,3,163,Clark Hall 108,Sally Pusede,930,1045,"2, 4","478, 479, 480, 481"
1233,EVSC,3559,New Course in Environmental Science,18379,1,Lecture,3,16,Shannon House 107,Cory Shaman+1,930,1045,"2, 4",None
1234,EVSC,3600,Physical Hydrology,10182,1,Lecture,3,100,Clark Hall 108,Patricia Wiberg,900,950,"1, 3, 5","482, 483, 484, 485"
1235,EVSC,4002,Undergraduate Seminar,10612,1,SEM,1,120,Clark Hall 108,Stephen Macko+1,1600,1650,2,None
1236,EVSC,4012,Advanced Remote Sensing,18400,1,SEM,3,15,Maury Hall 110,Xi Yang,1400,1515,"2, 4",None
1237,EVSC,4050,Topics in Oceanography,10190,1,Lecture,3,163,Maury Hall 209,Stephen Macko,1230,1345,"2, 4",None
1238,EVSC,4070,Advanced GIS,18401,1,Lecture,3,24,Mechanical Engr Bldg 214,John Porter,1700,2000,4,None
1239,EVSC,4170,Spatial Ecology,18402,1,Lecture,3,24,Clark Hall 101,Max Castorani,1230,1345,"2, 4",None
1240,EVSC,4240,Restoration Ecology,11388,1,Lecture,3,25,Clark Hall G004,Linda Blum,930,1045,"2, 4",None
1241,EVSC,4490,Air Pollution,12607,1,Lecture,3,35,Clark Hall G004,Sally Pusede,1530,1645,"2, 4",None
1242,EVSC,4559,New Course in Environmental Science,18403,1,Lecture,3,30,Clark Hall G004,Kevin Grise,1200,1250,"1, 3, 5",None
1243,EVSC,4559,New Course in Environmental Science,19579,2,Lecture,3,30,Memorial Gymnasium 211,Claire Griffin,930,1045,"2, 4",None
1244,EVSC,4650,Water Sustainability,19475,1,Lecture,3,20,pbell Hall 425,Brian Richter,1000,30pmC,5,None
1245,EVSC,4660,Hydrological Field Methods and Data Analysis,18404,100,Lecture,3,14,New Cabell Hall 268,Todd Scanlon,1400,1600,2,486
1246,EVSC,4670,Drinking Water Quality,13624,1,Lecture,3,25,Clark Hall G004,Aaron Mills,1000,1050,"1, 3, 5",None
1247,EVSC,4870,Global Biogeochemical Cycles,13390,1,Lecture,3,20,Clark Hall G004,Aaron Mills+1,1400,1515,"2, 4",None
1248,EVSC,4991,The Theory and Practice of Biodiversity Conservation,11909,1,Lecture,3,27,Robertson Hall 258,David Smith+3,1530,1815,2,None
1249,EVSC,4993,Independent Study,11029,17,IND,1,10,TBA,Stephen Macko,TBA,TBA,TBA,None
1250,EVSC,4993,Independent Study,20068,19,IND,1,10,TBA,Lauren Simkins,TBA,TBA,TBA,None
